id,titulo,categoria,prioridade,status,estimativa_horas,gatilho,modulo,descricao,como_fazer,rota
1,Página de Termos de Uso,🔴 Obrigatório LGPD,Alta,Backlog,4-8h,Antes do 1º cadastro real,-,"Contrato entre Kianna e usuário definindo regras, responsabilidades, cancelamento, propriedade intelectual e foro. Conteúdo mínimo: CNPJ/CPF, escopo do serviço, obrigações, política de cancelamento, foro de eleição.",Adaptar template ABCD ou iubenda. Validar com advogado se possível.,/termos
2,Política de Privacidade (LGPD),🔴 Obrigatório LGPD,Alta,Backlog,4-8h,Antes do 1º cadastro real,-,"Documento explicando dados coletados, finalidade, compartilhamento (Supabase, Z-API, Stripe), retenção, direitos do titular, transferência internacional de dados.",Template iubenda + customização específica. Não esquecer cláusula de transferência internacional.,/privacidade
3,Banner de cookies (LGPD),🔴 Obrigatório LGPD,Alta,Backlog,3-6h,Antes de ligar Analytics ou rastreamento,-,"Banner com botões iguais 'Aceitar' e 'Recusar', categorização de cookies, link pra política, persistência da escolha. NÃO ativar Analytics antes.",Lib ngx-cookieconsent (gratuita) ou implementação custom com signal + localStorage.,Todas as páginas
4,E-mail de contato no footer,🔴 Obrigatório LGPD,Alta,Backlog,30min-1h,Antes do 1º cadastro real,-,E-mails contato@kianna.com.br (geral) e privacidade@kianna.com.br (LGPD). Visível no footer de todas as páginas.,"Cloudflare Email Routing — grátis, redireciona pro Gmail pessoal.",Footer global
5,Aceite de Termos no Cadastro,🟡 Melhoria importante,Média,Backlog,30min,Após criar página de Termos,Módulo 1,Verificar checkbox obrigatório 'Li e aceito Termos e Privacidade' aponta pra página real (não placeholder).,Atualizar links no cadastro.component.html.,/auth/cadastro
6,Botão 'Excluir minha conta',🟡 Melhoria importante,Média,Backlog,2-3h,LGPD direito ao esquecimento (Art. 18),Módulo 5,Botão em /dashboard/configuracoes com modal de confirmação. Cascade delete já está configurado no Supabase.,Implementar junto com configurações no Módulo 5.,/dashboard/configuracoes
7,Exportação de dados (portabilidade),🟡 Melhoria importante,Média,Backlog,4-6h,LGPD direito de portabilidade (Art. 18),Módulo 5,"Botão 'Baixar meus dados' que gera ZIP com JSON de profissional, serviços, agendamentos, foto.",Endpoint NestJS que monta ZIP + envia por e-mail.,/dashboard/configuracoes
8,Logs de auditoria de acessos,🟡 Melhoria importante,Baixa,Backlog,4h,Antes de escalar produção,-,"Tabela logs_auditoria no Supabase. Registrar login/logout, falhas, alterações sensíveis.",Migration + service que registra eventos.,Backend
9,Módulo 3 — Página pública de agendamento,🟢 Roadmap MVP,Alta,Backlog,Semana inteira,Próximo módulo a desenvolver,Módulo 3,"Rota pública /p/:slug com SSR. Cliente final escolhe serviço, horário e informa dados. Sem necessidade de criar conta.",Task card detalhado a ser gerado quando avançar.,/:slug (público)
10,Módulo 4 — Integração WhatsApp Z-API,🟢 Roadmap MVP,Alta,Backlog,2 semanas,Após Módulo 3,Módulo 4,"ATENÇÃO: maior complexidade do projeto. Confirmação imediata, lembrete 24h com menu interativo, reagendamento via WhatsApp.","Dividir em sub-módulos 4a, 4b, 4c. Testar cada um isoladamente antes de produção.",Backend + integrações
11,"Módulo 5 — Clientes, relatório e configurações",🟢 Roadmap MVP,Média,Backlog,Semana inteira,Após Módulo 4,Módulo 5,"Lista de clientes com histórico, relatório mensal, configurações da conta (perfil, plano, exclusão).",Task card a ser gerado.,"/dashboard/clientes, /relatorio, /configuracoes"
12,Módulo 6 — Cobrança Stripe + Pix,🟢 Roadmap MVP,Alta,Backlog,Semana inteira,Após Módulo 5,Módulo 6,Integração Stripe com Pix. Upgrade Grátis → Pro → Studio. Gestão de assinatura. Webhooks de pagamento.,Task card a ser gerado. Cuidado especial com webhooks e estados de assinatura.,/dashboard/configuracoes/plano
13,Deploy de produção,🔵 Infraestrutura,Alta,Backlog,4-8h,Antes de qualquer cliente real,-,"Hospedagem Angular (Vercel/Railway/Cloudflare Pages), NestJS (Railway/Render). Subdomínios: kianna.com.br, painel.*, agendar.*, api.*",Configurar DNS + variáveis de ambiente + CI/CD via GitHub Actions.,Infra
14,Backups automáticos do Supabase,🔵 Infraestrutura,Alta,Backlog,2-3h,Antes de qualquer cliente real,-,"CRÍTICO: Sem backup, perda de dados = morte do produto. Plano grátis Supabase tem backup limitado (7 dias, não baixável).",Plano Pro Supabase (US$25/mês) OU cron job semanal exportando pra storage externo.,Infra
15,Monitoramento e alertas,🔵 Infraestrutura,Média,Backlog,2h,Antes de marketing pago,-,"UptimeRobot (uptime), Sentry (erros), Better Stack (logs). Tudo em planos gratuitos.",Integração via SDK em cada serviço.,Infra
16,SSL/HTTPS em todos subdomínios,🔵 Infraestrutura,Alta,Backlog,1h,Antes de qualquer marketing,-,Cloudflare oferece SSL grátis. Configurar antes de qualquer marketing.,Cloudflare → SSL/TLS → Full Strict.,Infra
17,Google Analytics ou Plausible,🟣 Marketing,Média,Backlog,1-2h,Após banner de cookies funcionando,-,Medir conversão da homepage. GA grátis (questões LGPD) ou Plausible €9/mês (mais privacy-friendly).,Adicionar script após consentimento via banner de cookies.,Tracking
18,Google Search Console,🟣 Marketing,Baixa,Backlog,30min,Após homepage no ar,-,Indexar homepage no Google e monitorar SEO.,Verificar domínio via DNS TXT record.,SEO
19,Microsoft Clarity (mapas de calor),🟣 Marketing,Baixa,Backlog,30min,Após homepage no ar,-,Ver onde usuários clicam e abandonam. Gratuito.,Adicionar script após consentimento via banner de cookies.,Tracking
20,Pixel Facebook + Google Ads conversion,🟣 Marketing,Baixa,Backlog,1-2h,Quando começar anúncios pagos,-,Pra rodar campanhas pagas depois.,"Pixels + eventos de conversão (cadastro, upgrade).",Tracking
21,Blog em /blog,🟣 Marketing,Baixa,Backlog,1 dia setup + 4h/artigo,Após MVP completo,-,"Conteúdo SEO. Artigos: 'Como reduzir faltas no salão', 'Modelos de mensagem WhatsApp', etc.",WordPress Hostinger (futuro) OU Hashnode/Dev.to com domínio custom.,/blog
22,App mobile (PWA),⚪ Nice-to-have,Baixa,Backlog,1-2 dias,Após MVP estável,-,Transformar painel em PWA. Push notifications de novos agendamentos.,manifest.json + service worker + ícones.,/dashboard
23,"Bloqueio de horários (folgas, feriados)",⚪ Nice-to-have,Média,Backlog,4-6h,Após MVP,-,Profissional bloqueia horários onde não atende. Tabela bloqueios + UI no Módulo 2.,Adicionar tabela bloqueios + interface de gestão.,/dashboard/horarios
24,Pagamento antecipado (sinal),⚪ Nice-to-have,Média,Backlog,2-3 dias,Após MVP estável,-,Cliente paga 30% no agendamento pra reduzir no-show. Stripe ou Mercado Pago.,Integração + UX cuidadosa pro cliente final.,Página pública
25,Lista de espera,⚪ Nice-to-have,Baixa,Backlog,1 dia,Quando profissionais reclamarem de horários cheios,-,Cliente entra na lista quando horário está cheio. Sistema avisa se vagar.,Tabela waitlist + lógica de notificação.,Página pública
26,Multi-localidade (estúdios com 2+ unidades),⚪ Nice-to-have,Baixa,Backlog,2-3 dias,Quando primeiros clientes Studio pedirem,-,Múltiplos endereços. Cliente escolhe local.,Tabela enderecos + UI de seleção.,Página pública
27,Galeria de trabalhos,⚪ Nice-to-have,Baixa,Backlog,1-2 dias,Após MVP,-,Profissional sobe fotos antes/depois pra atrair clientes.,Upload via Supabase Storage + galeria na página pública.,Página pública
28,Avaliações pós-atendimento,⚪ Nice-to-have,Média,Backlog,1-2 dias,Após Módulo 4 (WhatsApp),-,"Após agendamento concluído, cliente recebe link no WhatsApp pra avaliar 1-5 estrelas.",Trigger pós-agendamento + página de avaliação pública + dashboard.,/avaliar/:id
29,Comprar domínios kianna.com.br + kianna.app,🏛️ Legal/Admin,URGENTE,Backlog,15min,AGORA,-,Não esperar. R$ 40-130 por ano cada. Risco de alguém pegar antes é real.,Registro.br ou hospedagem.,-
30,Depositar marca Kianna no INPI,🏛️ Legal/Admin,URGENTE,Backlog,1h,Esta semana,-,"Classe 42 (SaaS). R$ 142 com desconto MEI/ME. Sem isso, qualquer um pode depositar antes e te bloquear.",INPI online (busca.inpi.gov.br/pePI/) + GRU código 389.,-
31,Abertura de MEI,🏛️ Legal/Admin,Média,Backlog,1-2h,Antes do 1º pagamento recebido,-,Pra emitir nota fiscal. Limite R$81mil/ano = suficiente pros primeiros 12-24 meses.,Portal do Empreendedor → Formalize-se. CNAE: 6209-1/00 (TI).,-
32,Conta bancária PJ,🏛️ Legal/Admin,Média,Backlog,1-2h,Após abrir MEI,-,Receber pagamentos via Stripe e separar finanças.,"Inter, C6, Stone, BTG (todos gratuitos).",-
